,recency,history_segment,history,mens,womens,zip_code,newbie,channel,treatment,target
0,10,1,142.44,1,0,1,0,1,1,0
1,6,2,329.08,1,1,2,1,2,0,0
2,7,1,180.65,0,1,1,1,2,1,0
3,9,4,675.83,1,0,2,1,2,0,0
4,2,0,45.34,1,0,0,0,2,1,0
5,6,1,134.83,0,1,1,0,1,1,1
6,9,2,280.2,1,0,1,1,1,1,0
7,9,0,46.42,0,1,0,0,1,1,0
8,9,4,675.07,1,1,2,1,1,0,0
9,10,0,32.84,0,1,0,1,2,1,0
10,7,4,548.91,0,1,0,1,1,1,1
11,1,2,211.45,0,1,0,1,1,1,0
12,5,4,642.9,0,1,1,1,0,1,0
13,2,1,101.64,0,1,0,0,2,0,1
14,4,2,241.42,0,1,2,1,0,0,0
15,3,0,58.13,1,0,0,1,2,0,1
16,5,0,29.99,1,0,1,0,1,0,0
17,9,1,112.35,1,0,2,0,2,0,0
18,11,2,219.04,1,1,1,0,1,0,0
19,5,5,828.42,1,0,1,1,0,0,0
20,9,0,29.99,0,1,1,1,1,0,0
21,11,1,182.32,1,0,1,0,1,0,0
22,2,1,118.4,1,0,1,0,2,0,1
23,2,0,29.99,0,1,0,1,1,0,0
24,4,0,78.24,1,0,1,0,2,0,0
25,6,1,139.87,0,1,2,1,2,0,0
26,12,1,115.39,0,1,1,0,1,0,1
27,6,1,162.98,0,1,1,0,2,0,0
28,7,3,435.73,0,1,0,1,2,0,0
29,2,2,203.35,1,0,2,0,2,0,0
30,2,2,237.53,0,1,1,0,1,1,0
31,9,2,334.24,1,0,0,0,2,0,0
32,6,1,128.01,0,1,0,0,2,0,0
33,9,0,29.99,1,0,1,1,1,0,0
34,3,0,29.99,1,0,2,0,2,1,0
35,4,2,218.72,0,1,0,0,0,1,0
36,1,4,514.52,0,1,1,1,2,0,0
37,4,5,766.47,1,1,0,1,0,0,0
38,10,0,63.79,1,0,2,1,1,1,0
39,7,4,520.43,0,1,1,1,2,0,0
40,11,2,236.97,1,1,0,1,1,0,0
41,3,0,99.23,1,0,2,0,2,0,1
42,9,2,204.18,0,1,1,0,2,1,0
43,2,3,492.02,1,0,1,0,1,0,0
44,1,0,48.32,0,1,0,0,2,0,0
45,10,0,29.99,1,0,1,0,1,0,0
46,2,3,391.33,1,0,1,0,2,0,0
47,1,4,729.7,1,1,1,1,2,0,0
48,3,1,134.59,1,0,0,1,1,1,1
49,10,0,61.09,0,1,1,0,2,1,0
50,3,2,203.3,0,1,1,0,2,0,0
51,9,1,185.43,1,0,0,0,2,0,0
52,7,0,29.99,0,1,0,1,1,0,0
53,9,0,78.62,1,0,0,0,2,0,0
54,12,1,150.06,0,1,1,0,1,0,0
55,6,0,42.66,1,0,1,0,2,0,0
56,12,0,69.08,0,1,2,0,1,1,0
57,3,4,549.29,1,0,1,1,0,0,0
58,9,4,506.83,1,0,2,1,0,0,0
59,3,1,143.93,0,1,1,0,1,1,0
60,10,1,115.4,1,0,0,0,1,0,0
61,2,0,96.91,1,0,1,0,1,1,0
62,6,0,40.07,1,0,1,1,1,0,0
63,11,3,417.21,0,1,0,0,1,0,0
64,9,0,61.57,1,0,1,1,1,1,0
65,5,2,222.07,0,1,1,0,1,1,0
66,1,2,259.91,0,1,1,1,2,0,0
67,11,0,53.81,1,0,0,1,1,0,0
