number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
0,0.03459830399485572,2026-07-20 16:28:48.066547,2026-07-20 16:28:52.841127,0 days 00:00:04.774580,15.0,0.04,6,100,0.0,3.0,0.04,7,100,15.0,0.05,4,150,COMPLETE
1,0.03585938396889102,2026-07-20 16:28:52.954241,2026-07-20 16:28:57.828858,0 days 00:00:04.874617,20.0,0.05,3,100,2.0,5.0,0.04,8,100,25.0,0.03,5,100,COMPLETE
2,0.04497537544186589,2026-07-20 16:28:57.923244,2026-07-20 16:29:02.673682,0 days 00:00:04.750438,15.0,0.03,5,50,2.0,3.0,0.05,8,100,10.0,0.03,5,150,COMPLETE
3,0.04074525636159389,2026-07-20 16:29:02.781648,2026-07-20 16:29:07.626241,0 days 00:00:04.844593,20.0,0.02,5,150,0.5,9.0,0.06,8,100,20.0,0.04,5,100,COMPLETE
4,0.037025606400286765,2026-07-20 16:29:07.727292,2026-07-20 16:29:21.769961,0 days 00:00:14.042669,15.0,0.04,5,150,0.5,4.0,0.08,6,200,25.0,0.02,5,50,COMPLETE
5,0.039068563537190334,2026-07-20 16:29:21.868125,2026-07-20 16:29:26.759552,0 days 00:00:04.891427,15.0,0.02,5,50,1.5,4.0,0.06,5,150,20.0,0.05,3,150,COMPLETE
6,0.03245967288003608,2026-07-20 16:29:26.854516,2026-07-20 16:29:45.140315,0 days 00:00:18.285799,10.0,0.03,3,200,0.0,10.0,0.07,5,300,30.0,0.04,3,100,COMPLETE
7,0.03383163808970262,2026-07-20 16:29:45.262371,2026-07-20 16:30:11.408268,0 days 00:00:26.145897,10.0,0.02,6,100,1.5,2.0,0.08,8,300,15.0,0.01,4,50,COMPLETE
8,0.042398789429011444,2026-07-20 16:30:11.519900,2026-07-20 16:30:30.489998,0 days 00:00:18.970098,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
9,0.03375557455103831,2026-07-20 16:30:30.631680,2026-07-20 16:30:47.086917,0 days 00:00:16.455237,5.0,0.01,5,50,0.5,7.0,0.04,6,250,10.0,0.03,5,150,COMPLETE
10,0.029436907093640177,2026-07-20 16:30:47.185770,2026-07-20 16:30:54.956015,0 days 00:00:07.770245,5.0,0.05,4,200,1.5,1.0,0.03,7,150,10.0,0.01,5,150,COMPLETE
11,0.04326041495372339,2026-07-20 16:30:55.048822,2026-07-20 16:31:14.273633,0 days 00:00:19.224811,20.0,0.03,6,50,2.0,7.0,0.1,7,250,15.0,0.02,4,150,COMPLETE
12,0.03172343043469601,2026-07-20 16:31:14.383168,2026-07-20 16:31:31.938574,0 days 00:00:17.555406,20.0,0.04,4,50,2.0,6.0,0.1,8,200,10.0,0.02,4,150,COMPLETE
