number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
0,0.03846362491523783,2026-07-20 15:42:27.177496,2026-07-20 15:42:33.064785,0 days 00:00:05.887289,15.0,0.04,6,100,0.0,3.0,0.04,7,100,15.0,0.05,4,150,COMPLETE
1,0.03603396603396604,2026-07-20 15:42:33.194660,2026-07-20 15:42:39.303547,0 days 00:00:06.108887,20.0,0.05,3,100,2.0,5.0,0.04,8,100,25.0,0.03,5,100,COMPLETE
2,0.028642006684842042,2026-07-20 15:42:39.420934,2026-07-20 15:42:45.603281,0 days 00:00:06.182347,15.0,0.03,5,50,2.0,3.0,0.05,8,100,10.0,0.03,5,150,COMPLETE
3,0.033968032548677696,2026-07-20 15:42:45.722122,2026-07-20 15:42:52.207582,0 days 00:00:06.485460,20.0,0.02,5,150,0.5,9.0,0.06,8,100,20.0,0.04,5,100,COMPLETE
4,0.029267911200418537,2026-07-20 15:42:52.317876,2026-07-20 15:43:08.608250,0 days 00:00:16.290374,15.0,0.04,5,150,0.5,4.0,0.08,6,200,25.0,0.02,5,50,COMPLETE
5,0.04312647289866457,2026-07-20 15:43:08.715073,2026-07-20 15:43:14.503164,0 days 00:00:05.788091,15.0,0.02,5,50,1.5,4.0,0.06,5,150,20.0,0.05,3,150,COMPLETE
6,0.025472657896023418,2026-07-20 15:43:14.613529,2026-07-20 15:43:35.000353,0 days 00:00:20.386824,10.0,0.03,3,200,0.0,10.0,0.07,5,300,30.0,0.04,3,100,COMPLETE
7,0.03497679693718031,2026-07-20 15:43:35.105889,2026-07-20 15:44:05.378162,0 days 00:00:30.272273,10.0,0.02,6,100,1.5,2.0,0.08,8,300,15.0,0.01,4,50,COMPLETE
8,0.04170899200749571,2026-07-20 15:44:05.513998,2026-07-20 15:44:29.002366,0 days 00:00:23.488368,20.0,0.03,6,50,2.0,8.0,0.1,7,250,20.0,0.03,4,150,COMPLETE
9,0.022933643320740105,2026-07-20 15:44:29.137688,2026-07-20 15:44:48.298602,0 days 00:00:19.160914,5.0,0.01,5,50,0.5,7.0,0.04,6,250,10.0,0.03,5,150,COMPLETE
10,0.0329230934388455,2026-07-20 15:44:48.405066,2026-07-20 15:44:55.484376,0 days 00:00:07.079310,5.0,0.01,4,200,1.5,1.0,0.1,5,150,30.0,0.05,3,150,COMPLETE
11,0.04332959135950762,2026-07-20 15:44:55.590387,2026-07-20 15:45:13.691814,0 days 00:00:18.101427,20.0,0.02,6,50,1.5,7.0,0.1,7,200,20.0,0.04,3,150,COMPLETE
12,0.02743912283372313,2026-07-20 15:45:13.797331,2026-07-20 15:45:30.160404,0 days 00:00:16.363073,20.0,0.02,4,50,1.5,6.0,0.08,6,200,15.0,0.05,3,150,COMPLETE
13,0.03898023910148343,2026-07-20 15:45:30.306918,2026-07-20 15:45:36.982358,0 days 00:00:06.675440,15.0,0.02,6,50,1.0,6.0,0.06,7,150,25.0,0.04,3,100,COMPLETE
14,0.028625360768226138,2026-07-20 15:45:37.085383,2026-07-20 15:45:43.043538,0 days 00:00:05.958155,10.0,0.01,4,100,1.0,5.0,0.09,5,150,20.0,0.04,3,150,COMPLETE
15,0.04561554464381319,2026-07-20 15:45:43.149981,2026-07-20 15:45:58.861331,0 days 00:00:15.711350,20.0,0.02,6,50,1.5,7.0,0.03,6,200,25.0,0.05,3,100,COMPLETE
16,0.037836625979650096,2026-07-20 15:45:58.971229,2026-07-20 15:46:20.140111,0 days 00:00:21.168882,20.0,0.04,6,150,1.0,8.0,0.05,7,250,25.0,0.04,4,100,COMPLETE
17,0.0373805405131489,2026-07-20 15:46:20.286693,2026-07-20 15:46:36.766209,0 days 00:00:16.479516,20.0,0.01,6,100,1.5,7.0,0.03,6,200,30.0,0.02,3,50,COMPLETE
