,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_propensity_model__n_estimators,param_propensity_model__max_depth,param_propensity_model__learning_rate,param_propensity_model__l2_leaf_reg,param_outcome_model__n_estimators,param_outcome_model__max_depth,param_outcome_model__learning_rate,param_outcome_model__l2_leaf_reg,param_effect_model__random_strength,param_effect_model__n_estimators,param_effect_model__max_depth,param_effect_model__learning_rate,param_effect_model__l2_leaf_reg,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,24.22085626920064,0.27745709387739637,0.1326576073964437,0.0305516384350547,100,4,0.02,10.0,200,6,0.07,7.0,1.0,150,3,0.03,20.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.02, 'propensity_model__l2_leaf_reg': 10.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.07, 'outcome_model__l2_leaf_reg': 7.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.03, 'effect_model__l2_leaf_reg': 20.0}",0.047243153427075024,0.051703982429653975,0.04091976838231741,0.04662230141301547,0.00442447067057851,61
1,21.10271151860555,0.9647338879142753,0.17647274335225424,0.0488963521064449,50,3,0.04,15.0,250,5,0.04,3.0,0.5,50,4,0.02,20.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 15.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 5, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 3.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 20.0}",0.04617700648090414,0.05249942910839106,0.037454309472629954,0.04537691502064172,0.0061681448303456555,78
2,25.677542130152386,1.775319884784593,0.13884782791137695,0.04207667203166461,100,4,0.03,20.0,250,7,0.04,9.0,1.0,100,4,0.01,20.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 9.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.01, 'effect_model__l2_leaf_reg': 20.0}",0.045192474100308605,0.048710616454867545,0.04738084098936296,0.047094643848179706,0.0014504626869730182,46
3,12.386019150416056,1.0398521990655374,0.16422605514526367,0.04022065991630337,100,4,0.05,30.0,100,6,0.04,5.0,0.5,150,6,0.05,20.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.05, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 100, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.04, 'outcome_model__l2_leaf_reg': 5.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 6, 'effect_model__learning_rate': 0.05, 'effect_model__l2_leaf_reg': 20.0}",0.04763582800035668,0.05308570950150884,0.02848760198533165,0.043069713162399055,0.010548420952269452,97
4,17.783320824305218,0.7692135659673613,0.18518964449564615,0.024075580001496743,50,4,0.01,25.0,200,6,0.03,4.0,0.0,50,5,0.02,15.0,"{'propensity_model__n_estimators': 50, 'propensity_model__max_depth': 4, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 25.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.03, 'outcome_model__l2_leaf_reg': 4.0, 'effect_model__random_strength': 0.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 5, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 15.0}",0.04493507158332935,0.05956072351421188,0.037107755504065254,0.047201183533868825,0.009305388784478605,44
5,25.90957546234131,0.5839681929407793,0.1868427594502767,0.02455869614209901,100,5,0.01,10.0,250,6,0.1,2.0,1.5,100,3,0.05,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.01, 'propensity_model__l2_leaf_reg': 10.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 6, 'outcome_model__learning_rate': 0.1, 'outcome_model__l2_leaf_reg': 2.0, 'effect_model__random_strength': 1.5, 'effect_model__n_estimators': 100, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.05, 'effect_model__l2_leaf_reg': 10.0}",0.04840371994264284,0.050852218551408854,0.04088962114374478,0.04671518654593215,0.00423884383219876,58
6,25.171196222305298,0.7739113944323893,0.21726202964782715,0.020879309861844254,100,3,0.03,25.0,200,8,0.07,1.0,1.0,50,4,0.02,20.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.03, 'propensity_model__l2_leaf_reg': 25.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.07, 'outcome_model__l2_leaf_reg': 1.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 50, 'effect_model__max_depth': 4, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 20.0}",0.04561530218856033,0.050981974710788275,0.03924627191614152,0.04528118293849671,0.004796902248744649,79
7,35.193066914876304,0.8467219989572448,0.1492034594217936,0.06839108435264293,100,3,0.02,20.0,250,8,0.1,7.0,0.5,150,3,0.02,15.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.02, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 250, 'outcome_model__max_depth': 8, 'outcome_model__learning_rate': 0.1, 'outcome_model__l2_leaf_reg': 7.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 15.0}",0.04770192647198135,0.05268430963527396,0.043623238611294954,0.04800315823951675,0.0037052941816386057,33
8,27.620079040527344,2.1232006665734353,0.16258978843688965,0.04512218615431261,100,5,0.04,20.0,200,5,0.03,6.0,1.0,200,5,0.02,10.0,"{'propensity_model__n_estimators': 100, 'propensity_model__max_depth': 5, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 20.0, 'outcome_model__n_estimators': 200, 'outcome_model__max_depth': 5, 'outcome_model__learning_rate': 0.03, 'outcome_model__l2_leaf_reg': 6.0, 'effect_model__random_strength': 1.0, 'effect_model__n_estimators': 200, 'effect_model__max_depth': 5, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 10.0}",0.03862616854432763,0.05382866979687975,0.03775430878793268,0.04340304904304668,0.007380614741143239,96
9,35.94181283315023,1.3585004514679526,0.16070222854614258,0.016865294941990763,150,3,0.04,30.0,300,7,0.09000000000000001,1.0,0.5,150,3,0.02,10.0,"{'propensity_model__n_estimators': 150, 'propensity_model__max_depth': 3, 'propensity_model__learning_rate': 0.04, 'propensity_model__l2_leaf_reg': 30.0, 'outcome_model__n_estimators': 300, 'outcome_model__max_depth': 7, 'outcome_model__learning_rate': 0.09000000000000001, 'outcome_model__l2_leaf_reg': 1.0, 'effect_model__random_strength': 0.5, 'effect_model__n_estimators': 150, 'effect_model__max_depth': 3, 'effect_model__learning_rate': 0.02, 'effect_model__l2_leaf_reg': 10.0}",0.04981584654200727,0.05364128125766822,0.0424992013538132,0.048652109717829566,0.004622567734707113,17
